ENSSSAG00000003803	ENSSSAG00000003803	Gene Expression
ENSSSAG00000103699	SAMD8	Gene Expression
ENSSSAG00000000659	ccz1	Gene Expression
ENSSSAG00000001277	birc5a	Gene Expression
ENSSSAG00000107074	macrod2	Gene Expression
ENSSSAG00000000923	ENSSSAG00000000923	Gene Expression
ENSSSAG00000083876	ENSSSAG00000083876	Gene Expression
ENSSSAG00000064650	ENSSSAG00000064650	Gene Expression
ENSSSAG00000099965	ENSSSAG00000099965	Gene Expression
ENSSSAG00000000935	flrt3	Gene Expression
ENSSSAG00000000108	eme1	Gene Expression
ENSSSAG00000000131	ENSSSAG00000000131	Gene Expression
ENSSSAG00000065449	ENSSSAG00000065449	Gene Expression
ENSSSAG00000000689	btf3	Gene Expression
ENSSSAG00000000160	rab37	Gene Expression
ENSSSAG00000099692	foxd1	Gene Expression
ENSSSAG00000000709	tmem174	Gene Expression
ENSSSAG00000066908	ptpa	Gene Expression
ENSSSAG00000096533	pvalb3	Gene Expression
ENSSSAG00000001266	ENSSSAG00000001266	Gene Expression
ENSSSAG00000104580	ENSSSAG00000104580	Gene Expression
ENSSSAG00000091473	ENSSSAG00000091473	Gene Expression
ENSSSAG00000090604	desi1b	Gene Expression
ENSSSAG00000001692	xrcc6	Gene Expression
ENSSSAG00000003748	bsdc1	Gene Expression
ENSSSAG00000062635	enp6	Gene Expression
ENSSSAG00000008379	vwc2	Gene Expression
ENSSSAG00000008381	SPATA48	Gene Expression
ENSSSAG00000008390	ikzf1	Gene Expression
ENSSSAG00000115290	josd1	Gene Expression
ENSSSAG00000105775	ENSSSAG00000105775	Gene Expression
ENSSSAG00000002083	pdlim5b	Gene Expression
ENSSSAG00000118777	cbx7b	Gene Expression
ENSSSAG00000001794	ep300a	Gene Expression
ENSSSAG00000001977	bmpr1bb	Gene Expression
ENSSSAG00000043349	ENSSSAG00000043349	Gene Expression
